latitude,longitude,sst
15.0,80.0,301.57488907589374
15.0,80.25,301.6102793084289
15.0,80.5,301.70337983207673
15.0,80.75,301.7746749850842
15.0,81.0,301.8965110437114
15.0,81.25,301.9682918881527
15.0,81.5,302.00662526579424
15.0,81.75,301.9842327159579
15.0,82.0,301.9168520909243
14.75,80.0,
14.75,80.25,301.5582015881232
14.75,80.5,301.68345198503874
14.75,80.75,301.7780168321138
14.75,81.0,301.8960181031517
14.75,81.25,301.97300381997326
14.75,81.5,302.02394342751614
14.75,81.75,302.01011209534136
14.75,82.0,301.9333728487997
14.5,80.0,
14.5,80.25,
14.5,80.5,301.6153464474174
14.5,80.75,301.73276778838505
14.5,81.0,301.8579239466642
14.5,81.25,301.93158231470784
14.5,81.5,301.982442181866
14.5,81.75,301.98920561631
14.5,82.0,301.93484442135286
14.25,80.0,
14.25,80.25,301.46250587741116
14.25,80.5,301.5900180016006
14.25,80.75,301.6970440960595
14.25,81.0,301.8091083330035
14.25,81.25,301.88119364073174
14.25,81.5,301.94696495982043
14.25,81.75,301.9589985087775
14.25,82.0,301.93613476575905
14.0,80.0,
14.0,80.25,
14.0,80.5,301.5421810199334
14.0,80.75,301.6352742944553
14.0,81.0,301.76361281899483
14.0,81.25,301.8140594859779
14.0,81.5,301.89390135839534
14.0,81.75,301.9336193190795
14.0,82.0,301.9185556355056
13.75,80.0,
13.75,80.25,
13.75,80.5,301.545348887942
13.75,80.75,301.6057341065035
13.75,81.0,301.73862508209425
13.75,81.25,301.77215953840465
13.75,81.5,301.8457236678119
13.75,81.75,301.89163963112156
13.75,82.0,301.9145686162728
13.5,80.0,
13.5,80.25,
13.5,80.5,301.5404629771004
13.5,80.75,301.59473718254696
13.5,81.0,301.7127384535848
13.5,81.25,301.74961475692487
13.5,81.5,301.81146429891373
13.5,81.75,301.84694152095943
13.5,82.0,301.87038519404797
13.25,80.0,
13.25,80.25,
13.25,80.5,301.5252470618829
13.25,80.75,301.6091629430437
13.25,81.0,301.7057502962387
13.25,81.25,301.74685283996547
13.25,81.5,301.77662499994534
13.25,81.75,301.8075497709397
13.25,82.0,301.81820598598
13.0,80.0,
13.0,80.25,
13.0,80.5,301.5475308748312
13.0,80.75,301.6661120759392
13.0,81.0,301.7417929501028
13.0,81.25,301.76523662319136
13.0,81.5,301.77915494487667
13.0,81.75,301.76888293350794
13.0,82.0,301.77395007249646
12.75,80.0,
12.75,80.25,
12.75,80.5,301.61965242818883
12.75,80.75,301.70282164938413
12.75,81.0,301.78582414068427
12.75,81.25,301.81748107339234
12.75,81.5,301.8022869055526
12.75,81.75,301.7792346852613
12.75,82.0,301.751738750807
12.5,80.0,
12.5,80.25,301.61940595790895
12.5,80.5,301.7228364859325
12.5,80.75,301.7971400261793
12.5,81.0,301.90285402885445
12.5,81.25,301.9111615271102
12.5,81.5,301.8833973749986
12.5,81.75,301.8289636887826
12.5,82.0,301.7826562726756
12.25,80.0,
12.25,80.25,301.6602620313559
12.25,80.5,301.76246020798015
12.25,80.75,301.86752903845223
12.25,81.0,301.97575848780684
12.25,81.25,301.9905829502267
12.25,81.5,301.99422926054325
12.25,81.75,301.9476028828977
12.25,82.0,301.8870654326927
12.0,80.0,301.5239567174767
12.0,80.25,301.65415101824095
12.0,80.5,301.8089343539824
12.0,80.75,301.9345037124366
12.0,81.0,302.0511276495576
12.0,81.25,302.0887288654855
12.0,81.5,302.0928826146134
12.0,81.75,302.05186706039717
12.0,82.0,301.9826016626353
